,index,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,player_id
57,5382,5382,JR Smith,DEN,23.0,198.12,99.79024,None,USA,2004,1,18,81,15.2,3.7,2.8,7.6,0.023,0.128,0.238,0.5760000000000001,0.172,2008-09,58
58,1623,1623,Tariq Abdul-Wahad,DEN,25.0,198.12,101.151016,San Jose State,France,1997,1,11,61,11.4,4.8,1.6,-1.6,0.067,0.126,0.218,0.477,0.098,1999-00,59
59,7286,7286,Tony Parker,SAS,31.0,187.96,83.91452,None,France,2001,1,28,66,20.3,3.0,7.6,10.7,0.01,0.091,0.28,0.588,0.396,2012-13,60
60,10707,10707,Jaylen Brown,BOS,23.0,198.12,101.151016,California,USA,2016,1,3,50,20.4,6.4,2.2,6.5,0.031,0.14800000000000002,0.245,0.589,0.1,2019-20,61
61,5848,5848,Jason Hart,NOH,32.0,190.5,81.64656,Syracuse,USA,2000,2,49,5,0.4,0.4,1.2,15.8,0.0,0.08,0.107,0.5,0.353,2009-10,62
62,5491,5491,Brandon Roy,POR,24.0,198.12,95.707912,Washington,USA,2006,1,6,78,22.6,4.7,5.1,8.9,0.044,0.115,0.274,0.573,0.243,2008-09,63
63,8642,8642,Montrezl Harrell,HOU,22.0,203.2,108.86208,Louisville,USA,2015,2,32,39,3.6,1.7,0.4,5.0,0.076,0.108,0.14400000000000002,0.635,0.067,2015-16,64
64,4375,4375,Doug Christie,DAL,36.0,198.12,92.98636,Pepperdine,USA,1992,1,17,7,3.7,1.9,2.0,-0.1,0.012,0.073,0.095,0.416,0.115,2005-06,65
65,149,149,Brooks Thompson,DEN,26.0,193.04,87.543256,Oklahoma State,USA,1994,1,27,67,6.6,1.4,2.7,-6.2,0.019,0.087,0.214,0.526,0.277,1996-97,66
66,6424,6424,Christian Eyenga,CLE,22.0,195.58,95.25431999999999,None,Congo,2009,1,30,44,6.9,2.8,0.8,-10.4,0.031,0.121,0.173,0.476,0.061,2010-11,67
67,1010,1010,Tyrone Nesby,LAC,23.0,198.12,102.0582,Nevada-Las Vegas,USA,Undrafted,Undrafted,Undrafted,50,10.1,3.5,1.6,-6.4,0.049,0.115,0.183,0.5429999999999999,0.109,1998-99,68
68,5559,5559,Jason Maxiell,DET,26.0,200.66,117.93392,Cincinnati,USA,2005,1,26,78,5.8,4.2,0.3,-4.4,0.14,0.136,0.145,0.58,0.028,2008-09,69
69,866,866,Harold Ellis,DEN,27.0,195.58,99.79024,Morehouse,USA,Undrafted,Undrafted,Undrafted,27,6.1,1.9,0.7,-9.4,0.08900000000000001,0.092,0.204,0.591,0.105,1997-98,70
70,3281,3281,Samaki Walker,MIA,28.0,205.74,117.93392,Louisville,USA,1996,1,9,33,3.2,3.4,0.2,-3.1,0.112,0.184,0.15,0.444,0.029,2003-04,71
71,3411,3411,James Jones,IND,23.0,203.2,97.52228,Miami (FL),USA,2003,2,49,6,1.2,0.3,0.0,-10.0,0.0,0.095,0.194,0.354,0.0,2003-04,72
72,1746,1746,Michael Finley,DAL,27.0,200.66,97.52228,Wisconsin,USA,1995,1,21,82,22.6,6.3,5.3,0.0,0.038,0.121,0.252,0.522,0.213,1999-00,73
73,3344,3344,Anthony Peeler,SAC,34.0,193.04,94.347136,Missouri,USA,1992,1,15,75,5.7,2.0,1.6,4.9,0.025,0.095,0.147,0.575,0.139,2003-04,74
74,8076,8076,Jordan Hamilton,HOU,23.0,200.66,99.79024,Texas,USA,2011,1,26,60,6.7,3.2,0.9,-4.0,0.033,0.16399999999999998,0.188,0.507,0.084,2013-14,75
75,7229,7229,Mike Conley,MEM,25.0,185.42,83.91452,Ohio State,USA,2007,1,4,80,14.6,2.8,6.1,9.0,0.018000000000000002,0.079,0.209,0.5489999999999999,0.287,2012-13,76
76,9483,9483,Doug McDermott,OKC,25.0,203.2,99.336648,Creighton,USA,2014,1,11,66,9.0,2.7,0.9,-3.1,0.015,0.117,0.165,0.5539999999999999,0.06,2016-17,77
77,3921,3921,Eddie Gill,IND,26.0,182.88,86.18248,Weber State,USA,Undrafted,Undrafted,Undrafted,73,3.7,1.5,1.1,-4.3,0.02,0.117,0.16399999999999998,0.484,0.161,2004-05,78
78,2522,2522,Avery Johnson,DAL,37.0,180.34,81.64656,Southern,USA,Undrafted,Undrafted,Undrafted,68,7.9,1.0,4.2,-7.1,0.012,0.047,0.197,0.531,0.35600000000000004,2001-02,79
79,554,554,Tony Delk,GSW,24.0,187.96,87.089664,Kentucky,USA,1996,1,16,77,10.1,2.2,2.2,-9.3,0.024,0.086,0.254,0.452,0.194,1997-98,80
80,4738,4738,Will Conroy,LAC,24.0,187.96,88.45044,Washington,USA,Undrafted,Undrafted,Undrafted,7,0.0,1.0,1.3,-10.8,0.065,0.085,0.061,0.0,0.3,2006-07,81
81,101,101,Greg Graham,SEA,26.0,193.04,82.553744,Indiana,USA,1993,1,17,28,3.3,0.5,0.4,3.6,0.013,0.063,0.245,0.476,0.1,1996-97,82
82,1655,1655,Lari Ketner,CLE,23.0,208.28,129.27372,Massachusetts,USA,1999,2,49,22,1.5,1.5,0.0,-27.2,0.08900000000000001,0.208,0.152,0.456,0.015,1999-00,83
83,6713,6713,Trey Thompkins,LAC,22.0,208.28,111.13004,Georgia,USA,2011,2,37,24,2.4,1.0,0.1,-28.3,0.038,0.206,0.261,0.445,0.05,2011-12,84
84,408,408,Otis Thorpe,DET,34.0,208.28,111.583632,Providence,USA,1984,1,9,79,13.1,7.9,1.7,6.2,0.108,0.182,0.2,0.563,0.08900000000000001,1996-97,85
85,6355,6355,Jeff Adrien,GSW,25.0,201.0,111.0,Connecticut,USA,Undrafted,Undrafted,Undrafted,23,2.5,2.5,0.4,-1.3,0.133,0.206,0.163,0.457,0.075,2010-11,86
